Sequence,Speaker,Utterance,Notes
39,"Speaker 1 (Dr. Anne White)","Yeah.",""
40,"Speaker 2 (child – Amelia)","And I was also thinking on how can it do that.",""
41,"Speaker 1 (Dr. Anne White)","You know, scientists are still studying exactly how magnetism works, right?",""
42,"Speaker 1 (Dr. Anne White)","It'll still be there for you to tackle when you become a scientist.",""
43,"Speaker 1 (Dr. Anne White)","Have you ever seen one of these games?",""
44,"Speaker 2 (child – Amelia)","Yes.",""
45,"Speaker 1 (Dr. Anne White)","With the iron filing.",""
46,"Speaker 1 (Dr. Anne White)","So if you take this and you take the magnetic end, and maybe you can show us what's gonna happen with it.",""
47,"Speaker 1 (Dr. Anne White)","While you move around those iron filings with the magnet, you're totally in control of that material.",""
48,"Speaker 1 (Dr. Anne White)","You're pushing, you're pulling it, you're moving it around.",""
49,"Speaker 1 (Dr. Anne White)","And so you're using this magnetic force to also do something useful for you.",""
50,"Speaker 1 (Dr. Anne White)","Have you learned about the states of matter?",""
51,"Speaker 2 (child – Amelia)","Yes.",""
52,"Speaker 1 (Dr. Anne White)","Tell me about that.",""
53,"Speaker 2 (child – Amelia)","So we were in second grade, and she put a picture on the board, three states of matter, she showed us a picture of ice, a picture of water, and a picture of gas.",""
54,"Speaker 1 (Dr. Anne White)","Did you learn that there's also a fourth state of matter?",""
55,"Speaker 2 (child – Amelia)","No.",""
56,"Speaker 1 (Dr. Anne White)","When you heat up a gas, you create a plasma.",""
57,"Speaker 1 (Dr. Anne White)","A plasma is the fourth state of matter.",""
58,"Speaker 1 (Dr. Anne White)","The plasma I study is actually invisible.",""
59,"Speaker 2 (child – Amelia)","That's gonna be hard science, you can't see it.",""
60,"Speaker 1 (Dr. Anne White)","And the plasmas I work with are so hot that I can't see with my eyes, but it's light that I can measure it with very, very special instruments.",""
61,"Speaker 2 (child – Amelia)","What kinda instruments?",""
62,"Speaker 2 (child – Amelia)","Because instruments we use play music.",""
63,"Speaker 1 (Dr. Anne White)","That's a really great point.",""
64,"Speaker 2 (child – Amelia)","How do you keep the invisible plasmas, because they're invisible?",""
65,"Speaker 2 (child – Amelia)","Do you keep 'em in one spot so you always know where they are.",""
66,"Speaker 1 (Dr. Anne White)","Yes, we absolutely do.",""
67,"Speaker 1 (Dr. Anne White)","We hold it inside the container with the magnetic fields.",""
68,"Speaker 1 (Dr. Anne White)","So you didn't have to actually touch the iron filings in the toy to move them around.",""
69,"Speaker 1 (Dr. Anne White)","You could pass the magnetic field through the plastic and control them with it.",""
70,"Speaker 1 (Dr. Anne White)","So it's the same thing.",""
71,"Speaker 1 (Dr. Anne White)","We don't have to touch this very, very hot plasma to control it and hold it in place because we use magnetic fields.",""
72,"Speaker 1 (Dr. Anne White)","You are so smart.",""
73,"Speaker 1 (Dr. Anne White)","I'm so glad that science is your favorite subject.",""
