Sequence,Speaker,Utterance,Notes
30,"Speaker 1 (Dr. Anne White)","and I try and combine them together,",""
31,"Speaker 1 (Dr. Anne White)","those two positively charged particles just sort of bounce off of each other.",""
32,"Speaker 1 (Dr. Anne White)","So we have to give them enormous amounts of energy,",""
33,"Speaker 1 (Dr. Anne White)","and it has to do with getting up to very high temperatures.",""
34,"Speaker 1 (Dr. Anne White)","So we're talking about over 100 million degrees Celsius.",""
35,"Speaker 1 (Dr. Anne White)","And we typically put that into a an energy unit",""
36,"Speaker 1 (Dr. Anne White)","that we use a lot in plasma physics",""
37,"Speaker 1 (Dr. Anne White)","called an electron vault.",""
38,"Speaker 1 (Dr. Anne White)","And so we describe being up at 100 million degrees",""
39,"Speaker 1 (Dr. Anne White)","that we're at sort of 15 kiloelectron volts.",""
40,"Speaker 1 (Dr. Anne White)","So that's very,",""
41,"Speaker 1 (Dr. Anne White)","very hot temperature.",""
42,"Speaker 1 (Dr. Anne White)","But the other thing we need is a lot of particles.",""
43,"Speaker 1 (Dr. Anne White)","That's the density.",""
44,"Speaker 1 (Dr. Anne White)","We are able to combine a deuteron and a triton in a fusion reaction at lower temperatures,",""
45,"Speaker 1 (Dr. Anne White)","at lower energies than other fuel.",""
46,"Speaker 1 (Dr. Anne White)","And this has to do with some very nice properties of the deuteron and the triton",""
47,"Speaker 1 (Dr. Anne White)","that when we get them close enough to one another to fuse,",""
48,"Speaker 1 (Dr. Anne White)","there's actually a resonance",""
49,"Speaker 1 (Dr. Anne White)","which is predicted by quantum mechanics,",""
50,"Speaker 1 (Dr. Anne White)","and that really helps have a little bump up in the cross section",""
51,"Speaker 1 (Dr. Anne White)","for the deuterium-tritium fusion reaction.",""
52,"Speaker 4 (college student - Yash)","Compared to just hydrogen.",""
53,"Speaker 1 (Dr. Anne White)","Yes,",""
54,"Speaker 1 (Dr. Anne White)","exactly,",""
55,"Speaker 1 (Dr. Anne White)","exactly.",""
56,"Speaker 1 (Dr. Anne White)","That little bump up is good for us.",""
57,"Speaker 1 (Dr. Anne White)","Because it means that we have a higher probability of getting the deuterium and the tritium to fuse",""
58,"Speaker 1 (Dr. Anne White)","than otherwise at those manageable temperatures.",""
59,"Speaker 1 (Dr. Anne White)","And when we say manageable,",""
60,"Speaker 1 (Dr. Anne White)","for fusion scientists,",""
61,"Speaker 1 (Dr. Anne White)","yeah,",""
62,"Speaker 1 (Dr. Anne White)","50 million,",""
63,"Speaker 1 (Dr. Anne White)","a hundred million,",""
64,"Speaker 1 (Dr. Anne White)","150 million Celsius.",""
65,"Speaker 4 (college student - Yash)","So the problem you described is that we get to those high temperatures,",""
66,"Speaker 4 (college student - Yash)","we have dense plasma,",""
67,"Speaker 4 (college student - Yash)","but the problem is the hotter the plasma is,",""
68,"Speaker 4 (college student - Yash)","the more likely it is the heat to get sucked out of it by.",""
69,"Speaker 1 (Dr. Anne White)","Absolutely,",""
70,"Speaker 1 (Dr. Anne White)","yeah,",""
71,"Speaker 1 (Dr. Anne White)","absolutely.",""
72,"Speaker 4 (college student - Yash)","So that the plasma itself is not staying hot enough for the time we need it to stay.",""
73,"Speaker 1 (Dr. Anne White)","We've come so far in the study of magnetically confined plasmas,",""
74,"Speaker 1 (Dr. Anne White)","which is what I work on,",""
75,"Speaker 1 (Dr. Anne White)","that we sort of tamed all the other types of major instabilities",""
76,"Speaker 1 (Dr. Anne White)","that would cause loss of the plasma.",""
77,"Speaker 1 (Dr. Anne White)","So you might be asking yourself what is the energy",""
78,"Speaker 1 (Dr. Anne White)","that's coming out of the fusion reaction?",""
79,"Speaker 1 (Dr. Anne White)","So we've got the deuteron",""
80,"Speaker 1 (Dr. Anne White)","and we've got the triton,",""
81,"Speaker 1 (Dr. Anne White)","and so they combine in a fusion reaction,",""
82,"Speaker 1 (Dr. Anne White)","and that produces a neutron and a helium nucleus.",""
83,"Speaker 1 (Dr. Anne White)","But the neutron doesn't have any charge.",""
84,"Speaker 4 (college student - Yash)","Yeah,",""
85,"Speaker 4 (college student - Yash)","it comes out.",""
86,"Speaker 1 (Dr. Anne White)","Exactly.",""
87,"Speaker 1 (Dr. Anne White)","So it comes right out.",""
88,"Speaker 1 (Dr. Anne White)","And it's the kinetic energy of the neutron.",""
89,"Speaker 1 (Dr. Anne White)","And we want it to interact with our overall energy system.",""
90,"Speaker 1 (Dr. Anne White)","And as it interacts with that material,",""
91,"Speaker 1 (Dr. Anne White)","it heats the material up.",""
92,"Speaker 4 (college student - Yash)","Yeah.",""
93,"Speaker 1 (Dr. Anne White)","It transfers its kinetic energy to this material.",""
94,"Speaker 1 (Dr. Anne White)","Take that thermal energy",""
95,"Speaker 1 (Dr. Anne White)","and run a turbine,",""
96,"Speaker 1 (Dr. Anne White)","run a generator,",""
97,"Speaker 1 (Dr. Anne White)","and convert it into electricity.",""
98,"Speaker 4 (college student - Yash)","Mhm",""
99,"Speaker 1 (Dr. Anne White)","So once you get to that stage,",""
100,"Speaker 1 (Dr. Anne White)","it starts to look a lot like any other thermal power plant.",""
101,"Speaker 1 (Dr. Anne White)","Whether it's fission or natural gas.",""
102,"Speaker 1 (Dr. Anne White)","So a fusion plant could basically be the plasma core coming in,",""
103,"Speaker 1 (Dr. Anne White)","setting it in place,",""
104,"Speaker 1 (Dr. Anne White)","and driving your thermal system to make electricity.",""
105,"Speaker 1 (Dr. Anne White)","We often call it an alpha particle.",""
106,"Speaker 1 (Dr. Anne White)","And that is a charged particle,",""
107,"Speaker 1 (Dr. Anne White)","right.",""
108,"Speaker 4 (college student - Yash)","Yeah",""
109,"Speaker 1 (Dr. Anne White)","So it's actually going to stay in the plasma.",""
110,"Speaker 1 (Dr. Anne White)","It's an energetic particle compared to the fuel.",""
111,"Speaker 1 (Dr. Anne White)","So it actually is going to give its kinetic energy back to the fuel via Coulomb collisions.",""
112,"Speaker 1 (Dr. Anne White)","So now they're good,",""
113,"Speaker 1 (Dr. Anne White)","now we like them.",""
114,"Speaker 4 (college student - Yash)","So you get this kind of self-sustaining cycle.",""
115,"Speaker 1 (Dr. Anne White)","Yes,",""
116,"Speaker 1 (Dr. Anne White)","you you said exactly the right word,",""
117,"Speaker 1 (Dr. Anne White)","self-sustaining.",""
