Sequence,Speaker,Utterance,Notes
28,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","Like in the case of High Field Fusion with Commonwealth Fusion Systems and Tokamak Energy, those companies, they’re using a high temperature superconductor.",""
29,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","It’s an advancement that has come recently from material science, right.",""
30,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","Or machine learning, artificial intelligence.",""
31,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","Those breakthroughs in other fields I think can really accelerate fusion.",""
32,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","So I think we’re seeing, the next decades are gonna be very exciting.",""
33,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","We have to diversify the different research that we do so that at the end we come with the most optimum solution for our fusion power plant.",""
34,"Speaker 1 (Dr. Anne White)","I agree, yeah, I think having multiple stakeholders who are all driven by different missions and different purposes working synergistically is exciting.",""
35,"Speaker 1 (Dr. Anne White)","When I’m asked like, okay, what’s the timeline for fusion and why is now any different than five years ago or 10 years ago, why is now that we want for fusion?",""
36,"Speaker 1 (Dr. Anne White)","My answer is it’s finally, for the first time, all the pieces of the puzzle are here.",""
37,"Speaker 1 (Dr. Anne White)","We’ve advanced really the basic physics understanding so far that we have got the predictive capabilities, but we also have alignment with policy and science drivers that we didn’t really have before.",""
38,"Speaker 1 (Dr. Anne White)","That’s I think what can get us there.",""
39,"Speaker 1 (Dr. Anne White)","Maybe a demonstration of net electricity in a decade.",""
40,"Speaker 1 (Dr. Anne White)","Is that the thing folks are pushing for?",""
41,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","We’re pushing for it.",""
42,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","Yeah, there are challenges still to overcome, as you know.",""
43,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","And hopefully we find solutions to those when we have new experiments and when we actually push forward, yeah.",""
44,"Speaker 6 (expert - Dr. Pablo Rodriguez-Fernandez)","The potential is huge.",""
