Sequence,Speaker,Utterance,Notes
46,Speaker 6 (expert),"You see and hear these interesting stories, but I feel like we're not ready yet to put that into a economically viable situation.",""
47,Speaker 1 (Hilary Mason),"So when we think about the next five to 10 years, the things that are really still holding us back are these uneven applications of resources to problems because the problems that get attention are the high value ones in terms of how much money you can make or the things that are fashionable enough that you can publish a paper on it.",""
48,Speaker 1 (Hilary Mason),"So what do you think is holding us back?",""
49,Speaker 6 (expert),"I fully agree on the steps you pointed out and the processes.",""
50,Speaker 6 (expert),"I think there is a chicken and egg problem, like your former example, that these areas that need to wait for data, the value of the data collection is then also slightly less apparent.",""
51,Speaker 6 (expert),"And so, it gets delayed further and you'll see that happening.",""
52,Speaker 6 (expert),"But what my experience has been, there's unfortunately, I feel a drifting apart between academia and the uses of AI, but I am somewhat frustrated with a generation of students who have standard data sets that they never think about what the model needs to be used for, that they never have to think about how the data was collected.",""
53,Speaker 6 (expert),"So with all of these challenges ahead of us, how optimistic are you about this world that I deeply believe we can create and the steps towards it?",""
54,Speaker 1 (Hilary Mason),"I am incredibly optimistic and not...",""
55,Speaker 1 (Hilary Mason),"Perhaps it's a personality flaw, but I can't help but look at the potential of the technology to reduce harm, to give us information that help us make better decisions.",""
56,Speaker 1 (Hilary Mason),"And to think that we would choose to address the big problems ahead of us.",""
57,Speaker 1 (Hilary Mason),"I don't think we have a hope of addressing them without figuring out the role that machine learning will play.",""
58,Speaker 1 (Hilary Mason),"And to think that we would then choose not to do that is just unthinkable.",""
59,Speaker 6 (expert),"Despite that the rightfully raised concerns about the challenges ahead, but I think they also make us as a society better.",""
60,Speaker 6 (expert),"They challenge us to be a lot clearer of what fairness means to all of us.",""
61,Speaker 6 (expert),"So with all of the setbacks, I think we have exciting years to come.",""
62,Speaker 6 (expert),"And I am looking forward to a world where a lot more of that is used for the right purposes.",""
