Sequence,Speaker,Utterance
35,Speaker 1 (Brian Greene),"This one's going tick tock."
36,Speaker 1 (Brian Greene),"This one's going to go tick tock."
37,Speaker 1 (Brian Greene),"In fact, we can figure out the ratio."
38,Speaker 1 (Brian Greene),"Let's consider time on the stationary clock compared to time on this moving clock."
39,Speaker 1 (Brian Greene),"Well, that ratio is going to be the ratio of the lengths."
40,Speaker 1 (Brian Greene),"Then this would be given by D over L."
41,Speaker 1 (Brian Greene),"More time on the stationary because it's longer distance on the moving clock."
42,Speaker 1 (Brian Greene),"Well, this length over here, that's the same as this L over here."
43,Speaker 1 (Brian Greene),"All right?"
44,Speaker 1 (Brian Greene),"So we want D over L."
45,Speaker 1 (Brian Greene),"Now, you may have recalled that in trigonometry, there's a name for L over D."
46,Speaker 1 (Brian Greene),"Sin of theta, opposite is L, hypotenuse is D, right?"
47,Speaker 1 (Brian Greene),"And so, this ratio is just 1 over sin of theta."
48,Speaker 1 (Brian Greene),"So if we can figure out 1 over sin theta, we'll have our beautiful formula for the ratio of time on the stationary clock to time on the moving clock."
49,Speaker 1 (Brian Greene),"We just need one other fact."
50,Speaker 1 (Brian Greene),"The speed of light along this diagonal is equal to what we call C."
51,Speaker 1 (Brian Greene),"C equals speed of light."
52,Speaker 1 (Brian Greene),"But in order for this ball of light to hit that point on the mirror, the component of the speed of light in the horizontal direction better be keeping perfect pace with the speed of the clock itself."
53,Speaker 1 (Brian Greene),"So let's assume that this clock is moving in this direction with the speed equal to V."
54,Speaker 1 (Brian Greene),"So C times cosine theta must be equal to V, the speed of the clock."
55,Speaker 1 (Brian Greene),"And from this, we learn that cosine theta is equal to V over C."
56,Speaker 1 (Brian Greene),"There's another beautiful identity you may recall from your study of trigonometry, that sin squared theta plus cosine squared theta is equal to one."
57,Speaker 1 (Brian Greene),"This is really just the Pythagorean theorem in disguise."
58,Speaker 1 (Brian Greene),"Sin squared theta plus (V/C) squared is 1."
59,Speaker 1 (Brian Greene),"And from that, we can now solve for sin squared theta equals 1 minus V over C squared."
60,Speaker 1 (Brian Greene),"And now for sin theta is the square root of this."
61,Speaker 1 (Brian Greene),"And now we're basically done because we already had over here that this ratio is 1 over sin theta, which now is 1 over the square root of 1 minus V over C squared."
62,Speaker 1 (Brian Greene),"So you see, as V gets very close to C, this gets very close to one."
63,Speaker 1 (Brian Greene),"1 minus something very close to one is very close to zero."
64,Speaker 1 (Brian Greene),"1 over something close to zero is huge!"
65,Speaker 1 (Brian Greene),"Which means the ratio of time on the stationary to time on the moving, that can be a huge number as the speed of the moving clock approaches the speed of light."
66,Speaker 1 (Brian Greene),"Now, I did this for a light clock, but it's true for any clock."
67,Speaker 1 (Brian Greene),"And this is what Einstein discovered in 1905 with his special theory of relativity."
68,Speaker 3 (teen),"Do you think that in the near or foreseeable future of humans as we know ourselves now, will there be a time where we are using these formulas and these concepts in our daily lives?"
69,Speaker 1 (Brian Greene),"As technology progresses, the barrier between the limitations of experience and the truth of how the world behaves in extreme environments will be moved in the very same way that, you know, we can toss a pack of gum and we know where to put our other hand to catch it."
70,Speaker 1 (Brian Greene),"Will we have that kind of intuition about these ideas?"
71,Speaker 1 (Brian Greene),"I think it's quite possible."
