Sequence,Speaker,Utterance
32,"Speaker 1 (Janna Levin)","Now, because things fall at the same rate."
33,"Speaker 1 (Janna Levin)","including the elevator and you, Yeah."
34,"Speaker 1 (Janna Levin)","you can actually float in the elevator."
35,"Speaker 1 (Janna Levin)","If you just floated in the elevator, the two of you would drop."
36,"Speaker 1 (Janna Levin)","And you might not even know you're falling."
37,"Speaker 1 (Janna Levin)","You could take an apple and drop it in front of you and it would float in front of you."
38,"Speaker 1 (Janna Levin)","You would actually experience weightlessness."
39,"Speaker 1 (Janna Levin)","It's called the equivalence principle."
40,"Speaker 1 (Janna Levin)","It was Einstein's happiest thought that what you're really doing when you're experiencing gravity isn't being heavy in your chair, it's falling weightlessly in the gravitational field."
41,"Speaker 1 (Janna Levin)","And that was the first step to think of gravity as weightlessness and falling."
42,"Speaker 4 (Lisa Chan)","I know like uh zero gravity experiences are done with uh planes, I believe."
43,"Speaker 1 (Janna Levin)"," Yeah, exactly."
44,"Speaker 4 (Lisa Chan)","Yeah."
45,"Speaker 1 (Janna Levin)","You can make somebody look like they're in the International Space Station by flying up in a plane and then just free falling."
46,"Speaker 1 (Janna Levin)","The plane just drops out of the air."
47,"Speaker 1 (Janna Levin)","And while it's falling, they will float weightlessly and there's been a lot of experiments about it, but you don't want it to end unhappily."
48,"Speaker 1 (Janna Levin)","So the plane has to scoop back up and then you see them become pinned to the floor of the plane."
49,"Speaker 1 (Janna Levin)","Because then the plane is interrupting their fall."
50,"Speaker 1 (Janna Levin)","So that's the first thought."
51,"Speaker 1 (Janna Levin)","And then the next is what is the shape that's traced?"
52,"Speaker 1 (Janna Levin)","So if you were floating in empty space, really empty space and you had an apple and you threw the apple, what shape do you think it would trace?"
53,"Speaker 1 (Janna Levin)","The path."
54,"Speaker 4 (Lisa Chan)","Well, if I threw it straight, I would think it would go straight."
55,"Speaker 1 (Janna Levin)","Yeah, it would just go straight."
56,"Speaker 1 (Janna Levin)","But if you did that on the Earth, what would happen?"
57,"Speaker 4 (Lisa Chan)","Uh, it would just go down."
58,"Speaker 1 (Janna Levin)","Yeah, but it would cause trace a curve."
59,"Speaker 1 (Janna Levin)","Trace an arc."
60,"Speaker 1 (Janna Levin)","Right?"
61,"Speaker 1 (Janna Levin)","And the faster you throw it, the kind of longer the arc."
62,"Speaker 1 (Janna Levin)","So the second step to thinking about curved space time is to say that when things fall freely around a body like the Earth, they trace curved paths as though space time itself, space itself was curved."
63,"Speaker 4 (Lisa Chan)","Oh."
64,"Speaker 1 (Janna Levin)","And so you had that moment."
65,"Speaker 1 (Janna Levin)","I saw it on your face."
66,"Speaker 1 (Janna Levin)","You went oh."
67,"Speaker 4 (Lisa Chan)","Yeah."
68,"Speaker 1 (Janna Levin)","So that's the intuition."
69,"Speaker 1 (Janna Levin)","That's how Einstein gets from thinking that space time is curved from the idea that, well, there's this field that permeates all of space, but what it's really describing is the curves that things fall along."
70,"Speaker 1 (Janna Levin)","And from there, it's a very long path to finding the mathematics and the right description."
71,"Speaker 1 (Janna Levin)","That's really hard, but that intuition is so elegant and so beautiful and just comes from these two simple thought experiments."
72,"Speaker 4 (Lisa Chan)","That's amazing."
73,"Speaker 1 (Janna Levin)","Isn't it kind of amazing?"
74,"Speaker 1 (Janna Levin)","So you described learning in a class about light, the theory of special relativity where Einstein is really adhering to the constancy of the speed of light and questioning the absolute nature of space and time."
75,"Speaker 1 (Janna Levin)","And it seems like that has nothing to do with gravity."
76,"Speaker 1 (Janna Levin)","But he later begins to think about the incompatibility of gravity with his theory of relativity."
77,"Speaker 1 (Janna Levin)","So suppose the sun were to disappear tomorrow."
78,"Speaker 1 (Janna Levin)","Some like evil genius comes and just figures out a way to evaporate the sun."
79,"Speaker 1 (Janna Levin)","In Newton's understanding of gravity, we would instantaneously know about it all the way over here at the Earth."
80,"Speaker 1 (Janna Levin)","And that's incompatible with the concept that nothing can travel faster than the speed of light."
81,"Speaker 1 (Janna Levin)","No information, not even information about the sun could possibly travel faster than the speed of light."
82,"Speaker 1 (Janna Levin)","So we shouldn't know about what happened to the sun for a full eight minutes, which is the time it would take light to travel to us."
83,"Speaker 1 (Janna Levin)","And so he begins to question why gravity is so incompatible with relativity, but he already knows he's thinking about space and time in relativity."
84,"Speaker 1 (Janna Levin)","So then he gets to his general theory of relativity where he realizes, if I eliminate everything but just the gravitational field of let's say the Earth,"
85,"Speaker 1 (Janna Levin)","and I look at how things fall, and I see that they follow curves, well then he realizes that space and time don't just contract or dilate, that they can really warp, that they can bend and that they can curve."
86,"Speaker 4 (Lisa Chan)","Oh."
87,"Speaker 1 (Janna Levin)","And then he finds a way to make gravity compatible with relativity by saying, if the sun were to disappear tomorrow, the curves that the sun imprinted in spacetime would actually begin to ripple."
88,"Speaker 1 (Janna Levin)","And those are the gravitational waves and they would change and they would flatten out because the sun was no longer there."
89,"Speaker 1 (Janna Levin)","And that would take the light travel time to get to us to tell us that the sun was gone."
90,"Speaker 1 (Janna Levin)","And then we would stop orbiting and just travel along a straight line."
91,"Speaker 4 (Lisa Chan)","Wow."
92,"Speaker 1 (Janna Levin)","Wow."
93,"Speaker 4 (Lisa Chan)","Yeah."
94,"Speaker 1 (Janna Levin)","Well, let's hope it doesn't happen."
95,"Speaker 4 (Lisa Chan)","Yeah."
96,"Speaker 1 (Janna Levin)","So what do you think you walked away with?"
97,"Speaker 1 (Janna Levin)","What do you think you learned from the conversation?"
98,"Speaker 4 (Lisa Chan)","Well, I learned more about the intuitions behind the concept."
99,"Speaker 4 (Lisa Chan)","Um, 'cause we already just do the problems, but sometimes you get lost in the math, but like speaking like this, it's really helps build my intuition."
100,"Speaker 1 (Janna Levin)","Yeah, it does for me too."
101,"Speaker 1 (Janna Levin)","So thank you."
102,"Speaker 4 (Lisa Chan)","Yeah."
